[2025-12-09 14:07:44] MOVING: 1.64s | STOPPED: 6.06s | FARE: $0.20
[2025-12-09 15:03:50] MOVING: 4.97s | STOPPED: 4.77s | FARE: $0.29
[2025-12-09 17:03:16] MOVING: 27.31s | STOPPED: 4.86s | FARE: $1.46
[2025-12-10 17:29:30] MOVING: 0.00s | STOPPED: 1765384170.89s | FARE: $35307683.42
[2025-12-10 17:31:15] MOVING: 0.00s | STOPPED: 1765384275.33s | FARE: $35307685.51
[2025-12-10 17:35:51] MOVING: 0.00s | STOPPED: 1765384551.76s | FARE: $35307691.04
[2025-12-10 17:39:45] MOVING: 0.00s | STOPPED: 1765384785.08s | FARE: $35307695.70
[2025-12-10 17:42:49] MOVING: 1765384969.74s | STOPPED: 0.00s | FARE: $88269248.49
[2025-12-10 17:44:50] MOVING: 0.00s | STOPPED: 1765385090.35s | FARE: $35307701.81
[2025-12-10 17:54:20] MOVING: 3530771299.61s | STOPPED: 5296156943.79s | FARE: $282461703.86
[2025-12-10 17:57:45] MOVING: 79.51s | STOPPED: 60.68s | FARE: $5.19
[2025-12-10 18:06:06] MOVING: 82.32s | STOPPED: 59.90s | FARE: $5.31
[2025-12-10 18:09:21] MOVING: 11.51s | STOPPED: 4.91s | FARE: $0.67
[2025-12-10 20:05:50] MOVING: 6.52s | STOPPED: 11.23s | FARE: $0.55
[2025-12-10 20:09:50] MOVING: 5.44s | STOPPED: 11.32s | FARE: $0.50
[2025-12-10 20:11:05] MOVING: 0.00s | STOPPED: 3.45s | FARE: $0.07
[2025-12-10 20:28:12] MOVING: 2.76s | STOPPED: 13.21s | FARE: $0.40
[2025-12-10 20:47:03] MOVING: 4.64s | STOPPED: 6.06s | FARE: $0.35
[2025-12-10 22:36:31] MOVING: 4.54s | STOPPED: 5.96s | FARE: $0.35
[2025-12-10 22:37:42] MOVING: 0.00s | STOPPED: 3.29s | FARE: $0.07
[2025-12-10 22:38:13] MOVING: 3.38s | STOPPED: 5.06s | FARE: $0.59
[2025-12-10 23:11:20] MOVING: 2.38s | STOPPED: 11.73s | FARE: $0.35
